unit_id,label_zh,label_en,symbol,alias,quantitykind,dimensionVec,conversionVal,basicUnit,frequency,keywords_zh,description_zh,description_en,informativeReference
AMD,亚美尼亚德拉姆,Armenian Dram,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,钱,现金",,Armenia,http://en.wikipedia.org/wiki/Armenian_dram?oldid=492709723
AMU,原子质量单位,Atomic mass unit,,"统一原子质量单位,道尔顿",Mass,A0E0L0I0M1H0T0D0,1.6600000000000003e-27,KiloGM,22.741977267384783,"元素,分子,原子,化学",原子质量单位是一个质量单位，用于表示原子、分子或其他粒子的质量。它等于质子或中子的质量，约为1.66 x 10^-27千克，也等于1 Dalton。常用于化学和物理学中描述原子和分子的质量。,"The (Unified Atomic Mass Unit) (symbol: (mu)) or (dalton) (symbol: Da) is a unit that is used for indicating mass on an atomic or molecular scale. It is defined as one twelfth of the rest mass of an unbound atom of carbon-12 in its nuclear and electronic ground state, and has a value of (1.660538782(83) times 10^{-27} kg).  One (Da) is approximately equal to the mass of one proton or one neutron. The CIPM have categorised it as a (""non-SI unit whose values in SI units must be obtained experimentally"").""","http://en.wikipedia.org/wiki/Atomic_mass_unit,http://baike.baidu.com/view/679362.htm"
ANGSTROM,埃,Angstrom,,,Length,A0E0L1I0M0H0T0D0,1e-10,M,34.1897007047291,"长度,纳米,光学,分子",埃是一个长度单位，用于度量物理学中的原子间距离、分子直径、光波波长等。它是以丹麦物理学家安德斯·约纳斯·安格斯特朗命名的。,"The (Angstrddot{o}m) is an internationally recognized unit of length equal to (0.1 ,nanometre) or (1 times 10^{-10},metres).  Although accepted for use, it is not formally defined within the International System of Units(SI). The angstrom is often used in the natural sciences to express the sizes of atoms, lengths of chemical bonds and the wavelengths of electromagnetic radiation, and in technology for the dimensions of parts of integrated circuits. It is also commonly used in structural biology.""",http://en.wikipedia.org/wiki/?ngstr?m?oldid=436192495
ARCMIN,弧分,ArcMinute,',"分,弧分",Angle,A0E0L0I0M0H0T0D1,0.000290888,RAD,10.0,"角度,圆周,弧度","['DerivedUnit', 'Unit']","A minute of arc, arcminute, or minute arc (MOA), is a unit of angular measurement equal to one sixtieth (1/60) of one degree (circle/21,600), or (pi /10,800 radians). In turn, a second of arc or arcsecond is one sixtieth (1/60) of one minute of arc. Since one degree is defined as one three hundred and sixtieth (1/360) of a rotation, one minute of arc is 1/21,600 of a rotation. ""","http://en.wikipedia.org/wiki/Minute_of_arc,http://baike.baidu.com/view/474461.htm"
ARCSEC,弧秒,Arc Second,"\""","秒,弧秒",Angle,A0E0L0I0M0H0T0D1,4.85e-06,RAD,10.0,"角度,角秒,视差","['DerivedUnit', 'Unit']","""Arc Second"" is a unit of angular measure, also called the (second of arc), equal to (1/60 ; arcminute). One arcsecond is a very small angle: there are 1,296,000 in a circle. The SI recommends (double prime) .""","http://en.wikipedia.org/wiki/Minute_of_arc#Symbols.2C_abbreviations_and_subdivisions,http://baike.baidu.com/view/467871.htm"
ARE,公亩,are,,,Area,A0E0L2I0M0H0T0D0,100.0,M2,43.043539001772366,"土地,面积,农田",,An are is a unit of area equal to 0.02471 acre and 100 centare.,"http://www.anidatech.com/units.html,http://baike.baidu.com/view/947571.htm"
ARS,阿根廷的比索,Argentine Peso,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,汇率,阿根廷",,Argentina,http://en.wikipedia.org/wiki/Argentine_peso?oldid=491431588
AT,安培匝数,Ampere Turn,At,,MagnetomotiveForce,A0E1L0I0M0H0T0D0,1.0,A,19.8864424584515,"电流,线圈,电感,磁场",安培匝数是衡量磁通量的单位，通常用于描述电机、发电机等电磁器件的性能。它也可以表示通过电感线圈的电流所产生的磁场强度。,"The (ampere-turn) was the MKS unit of magnetomotive force (MMF), represented by a direct current of one ampere flowing in a single-turn loop in a vacuum. ""Turns"" refers to the winding number of an electrical conductor comprising an inductor. The ampere-turn was replaced by the SI unit, (ampere).""",
AT-PER-IN,安培匝数每英寸,Ampere Turn per Inch,At/in,,MagneticFieldStrength_H,A0E1L-1I0M0H0T0D0,39.3700787,A-PER-M,36.37702128876941,,指磁场中一个线圈的匝数和电流的乘积与线圈长度的比值，常用于磁性材料的描述。,The (Ampere Turn per Inch) is a measure of magnetic field intensity and is eual to 12.5664 Oersted.,
AT-PER-M,安培匝数每米,Ampere Turn per Metre,At/m,,MagneticFieldStrength_H,A0E1L-1I0M0H0T0D0,1.0,A-PER-M,36.37702128876941,,它是用于描述磁场强度的单位，表示每米线长所包含的匝数乘以流过这些线的电流大小。常用于磁场的计算和工程设计中。,"The  (Ampere Turn per Metre) is the SI unit of magnetic field strength. One ampere per meter is equal to (pi/250) oersteds (12.566 371 millioersteds) in CGS units. The ampere per meter is also the SI unit of ""magnetization"" in the sense of magnetic dipole moment per unit volume; in this context (1 A/m = 0.001 emu per cubic centimeter).""",
ATM,标准大气压,Standard Atmosphere,atm,大气压,ForcePerArea,A0E0L-1I0M1H0T-2D0,101325.0,PA,31.400638977779558,"气压,大气,海拔","标准大气压是一个以大气压为单位的衡量标准，通常等于101,325帕斯卡或760毫米汞柱。它被广泛用于航空航天、气象等领域的计算和测量。","The standard atmosphere (symbol: atm) is an international reference pressure defined as (101.325 ,kPa) and formerly used as unit of pressure. For practical purposes it has been replaced by the bar which is (100 kPa). The difference of about 1% is not significant for many applications, and is within the error range of common pressure gauges.""","http://en.wikipedia.org/wiki/Atmosphere_(unit),http://baike.baidu.com/view/66423.htm"
ATM_T,工业大气压,Technical Atmosphere,at,,ForcePerArea,A0E0L-1I0M1H0T-2D0,98066.5,PA,16.94404203574778,"大气,压力,气压,压强",一种非制式的压力单位，通常用于工程领域和化学领域，1技术大气压相当于1公斤力/平方厘米或98066.5帕斯卡。,"A technical atmosphere (symbol: at) is a non-SI unit of pressure equal to one kilogram-force per square centimeter. The symbol at clashes with that of the katal (symbol: kat), the SI unit of catalytic activity; a kilotechnical atmosphere would have the symbol kat, indistinguishable from the symbol for the katal. It also clashes with that of the non-SI unit, the attotonne, but that unit would be more likely be rendered as the equivalent SI unit. Assay ton (abbreviation AT) is not a unit of measurement, but a standard quantity used in assaying ores of precious metals; it is (29 1D6 ,grams) (short assay ton) or (32 2D3 ,grams) (long assay ton), the amount which bears the same ratio to a milligram as a short or long ton bears to a troy ounce. In other words, the number of milligrams of a particular metal found in a sample of this size gives the number of troy ounces contained in a short or long ton of ore.""",http://en.wikipedia.org/wiki/Technical_atmosphere
AU,天文单位,astronomical-unit,au,,Length,A0E0L1I0M0H0T0D0,150000000000.0,M,22.419192627153727,"星系,行星,太阳系",天文学中使用的基本长度单位，定义为地球与太阳之间的平均距离。常用于描述行星和天体之间的距离。,"An astronomical unit (abbreviated as AU, au, a.u., or ua) is a unit of length equal to (149,597,870,700 metres)  or approximately the mean Earth Sun distance.""","http://en.wikipedia.org/wiki/Astronomical_unit,http://baike.baidu.com/view/7907.htm"
AUD,澳币,Australian Dollar,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,澳大利亚,兑换,汇率",,"Australia, Australian Antarctic Territory, Christmas Island, Cocos (Keeling) Islands, Heard and McDonald Islands, Kiribati, Nauru, Norfolk Island, Tuvalu","http://en.wikipedia.org/wiki/Australian_dollar?oldid=495046408,http://baike.baidu.com/view/272494.htm"
AWG,阿鲁巴盾,Aruban Guilder,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,阿鲁巴,加勒比海",,Aruba,http://en.wikipedia.org/wiki/Aruban_florin?oldid=492925638
AZN,阿塞拜疆马纳特,Azerbaijanian Manat,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,阿塞拜疆,马纳特,亚洲",,Azerbaijan,"http://en.wikipedia.org/wiki/Azerbaijani_manat?oldid=495479090,http://baike.baidu.com/view/1930345.htm"
A_Ab,绝对安培,Abampere,abA,,ElectricCurrent,A0E1L0I0M0H0T0D0,10.0,,16.822906261894495,"电流,电阻,电器",绝对安培是电流单位制中的一个单位，用于表示一个在真空中的直线电流，其每米线密度为二亿分之一安培。,,"http://en.wikipedia.org/wiki/Abampere?oldid=489318583','http://wordinfo.info/results/abampere','http://www.oxfordreference.com/view/10.1093/acref/9780198605225.001.0001/acref-9780198605225-e-13?rskey=i2kRRz"
A_Ab-CentiM2,绝对安培平方厘米,Abampere Square centimetre,abA·cm2,,ElectricConductivity,A0E2L-3I0M-1H0T3D0,1000000000.0,S,35.61113723963015,,它是一个生物物理学中的单位，用于衡量磁场的强度，表示单位面积上单位时间内通过的电流的数量。通常用于描述磁介质的磁场性质。,"""Abampere Square centimeter"" is the unit of magnetic moment in the electromagnetic centimeter-gram-second system.",http://wordinfo.info/unit/4266
A_Ab-PER-CentiM2,绝对安培每平方厘米,Abampere per Square Centimetre,abA/cm2,,ElectricCurrentDensity,A0E1L-2I0M0H0T0D0,100000.0,A-PER-M2,35.61113723963015,,这是一个电学单位，用于描述一个平方厘米面积内的电流密度，通常用于描述磁场的强度。,"Abampere Per Square Centimeter (aA/cm2) is a unit in the category of Electric current density. It is also known as abamperes per square centimeter, abampere/square centimeter, abampere/square centimetre, abamperes per square centimetre, abampere per square centimetre. This unit is commonly used in the cgs unit system. Abampere Per Square Centimeter  has a dimension of (L^{-2}I) where L is length, and I is electric current. It can be converted to the corresponding standard SI unit (A/m^{2}) by multiplying its value by a factor of 100000.""","http://wordinfo.info/results/abampere','http://www.efunda.com/glossary/units/units--electric_current_density--abampere_per_square_centimeter.cfm"
A_Stat,静电安培,Statampere,statA,,ElectricCurrent,A0E1L0I0M0H0T0D0,3.34e-10,,10.0,"电荷,电流,电磁场",静电安培是高斯单位制中用于测量电流的单位，等于每秒1个静电单位电荷通过导体截面的数量。常用于描述静电场中的电流。,"""Statampere"" (statA) is a unit in the category of Electric current. It is also known as statamperes. This unit is commonly used in the cgs unit system. Statampere (statA) has a dimension of I where I is electric current. It can be converted to the corresponding standard SI unit A by multiplying its value by a factor of 3.355641E-010.",http://www.efunda.com/glossary/units/units--electric_current--statampere.cfm
A_Stat-PER-CentiM2,静电安培每平方厘米,Statampere per Square Centimetre,statA/cm2,,ElectricCurrentDensity,A0E1L-2I0M0H0T0D0,3.34e-06,A-PER-M2,33.90541067415654,,它是一个电场强度的单位，表示静电场中单位面积上单位时间通过的电荷量。常用于描述电场的强度。,The Statampere per Square Centimeter is a unit of electric current density in the c.g.s. system of units.,
AttoC,阿库仑,AttoCoulomb,aC,,ElectricCharge,A0E1L0I0M0H0T1D0,1e-18,C,38.66062656486538,,阿图库是电荷量的单位，等于10的负18次方库仑。常用于描述微小的电荷量。,"An AttoColomb is (10^{-18} C).""",
AttoFARAD,阿法拉,Attofarad,aF,,Capacitance,A0E2L-2I0M-1H0T4D0,1e-18,FARAD,33.67694552849516,,阿法是一个电容单位，表示一种量级非常小的电容值，通常用于描述微电子学器件中的电容。Attofarad就是10的负18次方法拉。,,
AttoJ,阿焦耳,Attojoule,aJ,,Energy,A0E0L2I0M1H0T-2D0,1e-18,J,39.57318579471743,,阿焦耳是能量单位制中的一个单位，它表示的是一兆亿分之一焦耳。常用于描述微小的能量变化，如分子的振动。,,
AttoJ-SEC,阿焦耳秒,Attojoule Second,aJ·s,,Action,A0E0L2I0M1H0T-1D0,1e-18,,47.00609752172922,,阿焦耳秒是能量时间的单位，用于描述微小粒子的动力学，特别是在量子力学中。它通常用于描述光谱线的宽度和粒子的寿命等特性。,,
B,贝尔,Bel,,,"RF-Power,SignalStrength",A0E-1L1I0M1H0T-3D0,10.0,DeciB,36.4312734231047,"声音,信号,噪音",贝尔是衡量声音强度的单位，常见的还有它的十分之一的单位分贝。它是以声音的强度相对于基准值的对数来表示的，常用于音量控制和声音质量分析。,"A logarithmic unit of sound pressure equal to 10 decibels (dB),  It is defined as: (1 B = (1/2) log_{10}(Np))""",http://en.wikipedia.org/wiki/Sound_unit
BAN,巴尼,<None>,ban,,InformationEntropy,A0E0L0I0M0H0T0D1,,,10.0,"压力,液体,气体",,"A ban is a logarithmic unit which measures information or entropy, based on base 10 logarithms and powers of 10, rather than the powers of 2 and base 2 logarithms which define the bit. One ban is approximately (3.32 (log_2 10) bits).""",http://en.wikipedia.org/wiki/Ban?oldid=472969907
BAR,巴,Bar,bar,,ForcePerArea,A0E0L-1I0M1H0T-2D0,100000.0,PA,62.462994170001465,"压力,气体,科学化学,液压",巴是国际制单位制中的一个压力单位，用于描述气体或液体在一个平面上的压力。它常用于气象学、工程学、物理学以及地质学等领域。,"The bar is a non-SI unit of pressure, defined by the IUPAC as exactly equal to (100,000,Pa). It is about equal to the atmospheric pressure on Earth at sea level, and since 1982 the IUPAC has recommended that the standard for atmospheric pressure should be harmonized to (100,000,Pa = 1 ,bar approx 750.0616827, Torr). Units derived from the bar are the megabar (symbol: Mbar), kilobar (symbol: kbar), decibar (symbol: dbar), centibar (symbol: cbar), and millibar (symbol: mbar or mb). They are not SI or cgs units, but they are accepted for use with the SI.""","http://en.wikipedia.org/wiki/Bar?oldid=493875987','http://en.wikipedia.org/wiki/Bar_(unit)"
BAR-L-PER-SEC,巴公升每秒,Bar Litre Per Second,bar·l/s,,Power,A0E0L2I0M1H0T-3D0,100.0,W,50.617713260542295,,它是压力流量的单位，用于测量气体或液体通过管道流动的速率。1巴公升每秒等于1标准大气压下每分钟流量为0.236调和立方米的气体或液体。,,
BAR-M3-PER-SEC,巴立方米每秒,Bar Cubic Metre Per Second,bar·m3/s,,Power,A0E0L2I0M1H0T-3D0,100.0,W,50.617713260542295,,巴立方米每秒是用于表示气体流量的单位，常用于燃气、氧气、氮气等气体的计量。它表示每秒钟通过管道截面积为1平方米的气体体积为1立方米时的气体流量的压强。,,
BAR-PER-BAR,巴每巴,Bar Per Bar,bar/bar,,PressureRatio,A0E0L0I0M0H0T0D1,1.0,PSI-PER-PSI,47.0211592166569,,,,
BAR-PER-K,巴每开尔文,Bar Per Kelvin,bar/K,,PressureCoefficient,A0E0L-1I0M1H-1T-2D0,100000.0,PA-PER-K,50.26589427341433,,它是压力与温度梯度变化之比的单位。它通常用于描述热弹性材料的性质，例如金属、橡胶和塑料。,,
BARAD,巴列,Barad,,,ForcePerArea,A0E0L-1I0M1H0T-2D0,100000.0,PA,23.630111357367632,"压力,流量,气体",这个单位不存在，可能是拼写错误或者极罕见的单位。,"A barad is a dyne per square centimetre , and is equal to (0.1 Pa ) . Note that this is precisely the microbar, the confusable bar being related in size to the normal atmospheric pressure, at (100,dyn cdot cm^{-2}). Accordingly barad was not abbreviated, so occurs prefixed as in (cbarad = centibarad). Despite being the coherent unit for pressure in c.g.s., barad was probably much less common than the non-coherent bar. Barad is sometimes called (barye), a name also used for (bar).""",
BARN,靶恩,Barn,,,Area,A0E0L2I0M0H0T0D0,0.018,M2,30.62329916755231,"放射治疗,肿瘤,计量学",靶恩是一种用于描述核反应截面的单位，它等于10^-28平方米。常用于核物理学和粒子物理学中。,"A barn (symbol b) is a unit of area. Originally used in nuclear physics for expressing the cross sectional area of nuclei and nuclear reactions, today it is used in all fields of high energy physics to express the cross sections of any scattering process, and is best understood as a measure of the probability of interaction between small particles. A barn is defined as (10^{28} m^2 (100 fm^2)) and is approximately the cross sectional area of a uranium nucleus. The barn is also the unit of area used in nuclear quadrupole resonance and nuclear magnetic resonance to quantify the interaction of a nucleus with an electric field gradient. While the barn is not an SI unit, it is accepted for use with the SI due to its continued use in particle physics.""","http://en.wikipedia.org/wiki/Barn?oldid=492907677','http://en.wikipedia.org/wiki/Barn_(unit),http://baike.baidu.com/view/1871451.htm"
BARYE,巴列,Barye,ρ,,ForcePerArea,A0E0L-1I0M1H0T-2D0,0.1,PA,20.96730560804763,"压力,液压,气压",它是一个压强单位，表示1 dyn/cm2的压力。常用于描述极低压力的情况，如气体或液体的表面张力。在现代国际单位制中已经废止，被帕斯卡取代。,"<p>The barye, or sometimes barad, barrie, bary, baryd, baryed, or barie, is the centimetre-gram-second (CGS) unit of pressure. It is equal to 1 dyne per square centimetre.</p>",http://en.wikipedia.org/wiki/Barye?oldid=478631158
BBD,巴巴多斯元,Barbados Dollar,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"西印度群岛,货币,美元",,Barbados,http://en.wikipedia.org/wiki/Barbadian_dollar?oldid=494388633
BBL,桶,Barrel,bbl,,Volume,A0E0L3I0M0H0T0D0,0.159,M3,44.03196812848822,"液体,容量,水,油,酒",桶是一种容积单位，常用于量化液体或某些食品的容量。例如，石油产量常以桶为单位进行统计。在不同的地区，桶的容量大小可能会有所不同。,"A barrel is one of several units of volume, with dry barrels, fluid barrels (UK beer barrel, U.S. beer barrel), oil barrel, etc. The volume of some barrel units is double others, with various volumes in the range of about 100-200 litres (22-44 imp?gal; 26-53 US?gal).",http://en.wikipedia.org/wiki/Barrel?oldid=494614619
BBL_UK_PET,桶(英式),Barrel (UK Petroleum),,,Volume,A0E0L3I0M0H0T0D0,0.1591132,M3,10.0,"容量,液体,油桶",它是指英式计量单位中的石油桶，通常用于计量石油和石油产品的容量。在英国和一些其他国家，它等于159升。,,
BBL_UK_PET-PER-DAY,桶(英式)每天,Barrel (UK Petroleum) Per Day,,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,1.84e-06,M3-PER-SEC,33.90541067415654,,该单位通常用于表示石油、液态天然气等石油化工产品的产量或消费量。它表示每天生产或消费的桶数。在英式系统中，一个桶等于42美制加仑或35英制加仑。,,
BBL_UK_PET-PER-HR,桶(英式)每小时,Barrel (UK Petroleum) Per Hour,,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,4.42e-05,M3-PER-SEC,33.90541067415654,,这个单位用于测量石油等液体流量，表示每小时通过一英式桶的液体体积。常用于石油开采和输油管道的设计和控制。,,
BBL_UK_PET-PER-MIN,桶(英式)每分钟,Barrel (UK Petroleum) Per Minute,,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,0.002651886,M3-PER-SEC,33.90541067415654,,这是一个石油产量的单位，表示每分钟产出的桶数，是石油工业中常用的计量单位。其中“UK Petroleum”意指英国标准的石油产量单位。,,
BBL_UK_PET-PER-SEC,桶(英式)每秒,Barrel (UK Petroleum) Per Second,,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,0.1591132,M3-PER-SEC,33.90541067415654,,这是一个石油工业常用的流量单位，表示每秒通过一英式桶石油 (158.987 Liters) 的体积流量。,,
BBL_US,桶(美式),Barrel (US),,,Volume,A0E0L3I0M0H0T0D0,0.1589873,M3,27.625218781478576,"液体,油,饮料",Barrel (US)是用于测量液体容量的单位，通常指美国的桶容量，1桶等于42美制加仑。常用于石油、天然气等产量以及酒类、糖浆等销售量的计量单位。,,
BBL_US-PER-DAY,桶(美式)每天,Barrel (US) Per Day,,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,1.84e-06,M3-PER-SEC,40.821787424627885,,这是石油工业中常用的计量单位，表示石油的生产量或加工量，每天产生的桶数。一个桶等于42美国液体加仑。,,
BBL_US-PER-MIN,桶(美式)每分钟,Barrel (US) Per Minute,,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,0.0026498,M3-PER-SEC,38.31171536952618,,这是油气工业中使用的单位，用于测量油井和气井的产量。它表示每分钟流出的桶数。1桶(美式)等于42美制液体加仑。,,
BBL_US_DRY,干的桶,Dry Barrel (US),,,DryVolume,A0E0L3I0M0H0T0D0,0.115628199,M3,10.0,"水,存储,容器",干桶是一个美国量容单位，用于测量干货物的容积，例如谷物和木材。1个美制干桶等于105美制夸脱或约115.6升。,,
